id,phase,input,expected_output,max_words,no_go_terms
1,intro,"persona: CEO bij [bedrijfsnaam] in [sector]; aanleiding: koude lead; kanaal: LinkedIn DM; beperkingen: geen bijlagen, geen prijsinfo.","toon: kort en respectvol; inhoud: hypothese over groeikansen en pipeline-inefficiënties; CTA: vraag om 20-min call deze week; extra eisen: benoem een bewijspunt zonder klantnamen.",100,"garantie,risicoloos,gratis"
2,intro,"persona: CMO bij [bedrijfsnaam]; aanleiding: warme referral via [partnernaam]; kanaal: e-mail; beperkingen: maximaal 2 alinea's.","toon: persoonlijk en concreet; inhoud: koppeling aan referral en relevante marketing-KPI's; CTA: voorstel voor 25-min kennismaking; extra eisen: bied 2 tijdslots.",100,"garantie,exclusief"
3,intro,"persona: IT-manager; aanleiding: inbound na whitepaper-download; kanaal: e-mail; beperkingen: verwijs naar resource zonder tracking-taal.","toon: adviserend; inhoud: samenvatting van toepasbare insights; CTA: vraag om technische verkenning van 30 min; extra eisen: vraag naar huidige stack.",110,"100%,risicoloos"
4,intro,"persona: CFO; aanleiding: koude outreach; kanaal: e-mail; beperkingen: focus op unit economics.","toon: financieel onderbouwd; inhoud: drie concrete kostenbesparingscases op hoog niveau; CTA: vraag om 20-min ROI-discussie; extra eisen: geen buzzwords.",100,"gegarandeerde ROI,gratis"
5,intro,"persona: Operations Manager; aanleiding: gesproken op [eventnaam]; kanaal: event follow-up; beperkingen: herinner aan korte chat.","toon: collegiaal; inhoud: haakje naar bottleneck in order-to-cash; CTA: voorstel voor 20-min proces-scan; extra eisen: deel agenda met 3 punten.",100,
6,intro,"persona: Head of Sales; aanleiding: webinar-vraag gesteld; kanaal: e-mail; beperkingen: geen attachments.","toon: oplossingsgericht; inhoud: koppel aan vraag over forecasting; CTA: plan 20-min demo-sneak peek; extra eisen: voeg één link naar publieke help-artikel toe.",100,"gratis,exclusief"
7,intro,"persona: Procurement Manager; aanleiding: tenderverkenning; kanaal: e-mail; beperkingen: pre-kwalificatie vereist.","toon: to the point; inhoud: bevestig relevante certificeringen en referenties op categorie-niveau; CTA: vraag om 15-min screening-call; extra eisen: geen merknamen van concurrenten.",90,"onverslaanbaar,laagste prijs"
8,intro,"persona: COO; aanleiding: contact via branche-community; kanaal: community DM; beperkingen: korte intro.","toon: nuchter; inhoud: hypothese over throughput en cycle time; CTA: vraag om 20-min verkennend gesprek; extra eisen: bied keuze voor Nederlands of Engels.",90,
9,intro,"persona: DPO; aanleiding: vroege security/compliance-vraag; kanaal: e-mail; beperkingen: geen claims, alleen feiten.","toon: zorgvuldig; inhoud: overzicht van datastromen en verwerkersovereenkomsten; CTA: 30-min security-intro met architect; extra eisen: benoem data residency-opties.",120,"onhackbaar,waterdicht,GDPR-proof"
10,intro,"persona: Marketing Manager; aanleiding: koude lead via LinkedIn; kanaal: LinkedIn DM; beperkingen: geen pitches, wel waarde.","toon: behulpzaam; inhoud: deel 3 praktische ideeën voor MQL→SQL handover; CTA: vraag om 20-min sparsessie; extra eisen: vraag naar huidige SLA tussen sales en marketing.",110,
11,intro,"persona: CTO; aanleiding: tooling-heroriëntatie; kanaal: e-mail; beperkingen: technisch beknopt.","toon: technisch en helder; inhoud: high-level architectuurfit en integratiemogelijkheden; CTA: 25-min integratie-check; extra eisen: vraag naar API-rate limits.",110,"plug-and-play"
12,intro,"persona: HR Director; aanleiding: CRM-adoptie-uitdagingen; kanaal: e-mail; beperkingen: change management centraal.","toon: empathisch; inhoud: aanpak voor training en enablement; CTA: voorstel 20-min intake; extra eisen: vraag naar adoptie-KPI's.",100,
13,intro,"persona: Product Manager; aanleiding: inbound interesse voor feedbackloops; kanaal: e-mail; beperkingen: geen verkooptoon.","toon: onderzoekend; inhoud: hoe CRM-signalen roadmap kunnen voeden; CTA: 20-min discovery; extra eisen: vraag naar decision criteria.",100,
14,intro,"persona: Innovation Manager; aanleiding: ontmoeting op [eventnaam]; kanaal: follow-up; beperkingen: max 2 bullets.","toon: visionair maar concreet; inhoud: sales-assist AI use cases voor B2B; CTA: 25-min validatiesessie; extra eisen: benoem ethische randvoorwaarden.",110,"hype,magisch"
15,intro,"persona: Sales Ops Lead; aanleiding: koude outreach; kanaal: e-mail; beperkingen: datakwaliteit als haakje.","toon: pragmatisch; inhoud: voorstel dataclean-up quickscan; CTA: vraag om 20-min intake; extra eisen: bied opt-in voor template.",100,
16,intro,"persona: Finance Controller; aanleiding: budgetseizoen; kanaal: e-mail; beperkingen: kostenbewust.","toon: zakelijk; inhoud: TCO-vergelijking op hoofdlijnen; CTA: 20-min kostendialoog; extra eisen: vraag naar contractduurvoorkeur.",100,"besparing gegarandeerd"
17,intro,"persona: Security Officer; aanleiding: vroege bezwaren; kanaal: e-mail; beperkingen: geen marketingclaims.","toon: feitelijk; inhoud: SOC 2-status en pen-test samenvatting; CTA: 30-min deep dive met CISO-light; extra eisen: verwijs naar trust-pagina.",120,"onkwetsbaar,waterdicht"
18,intro,"persona: Compliance Officer; aanleiding: nieuwe regelgeving in [regio]; kanaal: e-mail; beperkingen: verwijzing naar beleid.","toon: precies; inhoud: mapping van controls op normenkader; CTA: 30-min gap-assessment; extra eisen: vraag naar audit-deadlines.",120,
19,intro,"persona: Regional Director; aanleiding: warme intro via alumninetwerk; kanaal: e-mail; beperkingen: kort houden.","toon: persoonlijk en direct; inhoud: link naar regionale groeidoelen; CTA: 20-min kennismaking; extra eisen: geef twee opties voor tijd.",90,
20,intro,"persona: Eigenaar; aanleiding: achtergelaten voicemail; kanaal: terugkoppeling per e-mail; beperkingen: geen druk zetten.","toon: vriendelijk; inhoud: samenvatting van waardepropositie in 2 zinnen; CTA: vraag of een 15-min belafspraak past; extra eisen: laat keuze voor kanaal.",90,"nu of nooit"
21,intro,"persona: Customer Success Lead; aanleiding: integratie met support-platform; kanaal: e-mail; beperkingen: focus op churn-reductie.","toon: oplossingsgericht; inhoud: suggestie voor health scoring in CRM; CTA: 20-min verkenning; extra eisen: vraag naar segment-definities.",110,
22,intro,"persona: Data Analyst; aanleiding: interesse in dashboards; kanaal: e-mail; beperkingen: geen visuals meesturen.","toon: exact en kort; inhoud: definities voor conversie-attributie; CTA: 20-min datamodel-check; extra eisen: vraag naar BI-tooling.",100,
23,intro,"persona: RevOps Lead; aanleiding: migratie van legacy CRM; kanaal: e-mail; beperkingen: geen big-bang belofte.","toon: realistisch; inhoud: phased rollout voorstel; CTA: 30-min planreview; extra eisen: benoem rollback-opties.",120,"naadloos,zonder risico"
24,intro,"persona: E-commerce Manager B2B; aanleiding: portal-integratievraag; kanaal: e-mail; beperkingen: koppel aan orderbeheer.","toon: concreet; inhoud: use case quote-to-cash; CTA: 25-min integratieverkenning; extra eisen: vraag naar PIM/ERP-koppelingen.",110,
25,intro,"persona: Logistics Manager; aanleiding: zichtbaarheid sales→fulfillment; kanaal: e-mail; beperkingen: nadruk op lead times.","toon: procesgericht; inhoud: sync van statusvelden tussen teams; CTA: 20-min procesmapping; extra eisen: benoem SLA-implicaties.",110,
26,intro,"persona: Head of Partnerships; aanleiding: co-sell kans met [partnernaam]; kanaal: e-mail; beperkingen: geen partnernamen publiek.","toon: collaboratief; inhoud: gezamenlijke accountlijst-idee; CTA: 20-min alignment-call; extra eisen: stel veilige data-uitwisseling voor.",110,"exclusief"
27,intro,"persona: Board Advisor; aanleiding: indirecte invloed; kanaal: e-mail; beperkingen: vraag om intro naar beslisser.","toon: respectvol; inhoud: korte context en waardehaak; CTA: vraag om warme introductie; extra eisen: geef draft-introtext.",100,
28,intro,"persona: Territory Manager; aanleiding: nieuw in rol; kanaal: LinkedIn DM; beperkingen: weinig tijd.","toon: to the point; inhoud: drie snelle wins voor pipeline-hygiëne; CTA: 15-min kennismaking; extra eisen: erken drukke onboarding.",90,
29,intro,"persona: Country Manager; aanleiding: ronde tafel op [eventnaam]; kanaal: e-mail; beperkingen: verwijs naar besproken trend.","toon: strategisch; inhoud: commercieel plan i.c.m. CRM-data; CTA: 25-min verdiepingscall; extra eisen: vraag naar lokale compliance-eisen.",120,
30,intro,"persona: Managing Director; aanleiding: website contactformulier zonder details; kanaal: e-mail; beperkingen: geen aannames over budget.","toon: beleefd en nieuwsgierig; inhoud: verduidelijkende vragen over doelen en tijdlijn; CTA: 20-min intake; extra eisen: bied alternatief via chat.",100,
31,intro,"persona: SDR Manager; aanleiding: lead-handoff-frictie; kanaal: e-mail; beperkingen: concrete verbeterpunten.","toon: hands-on; inhoud: checklist voor MQL→SQL; CTA: 20-min review; extra eisen: vraag om huidige definities.",100,
32,intro,"persona: VP Sales; aanleiding: koude outreach aan enterprise; kanaal: e-mail; beperkingen: executive summary-stijl.","toon: executive; inhoud: 2 kernuitkomsten en 1 risico; CTA: vraag om 20-min exec-briefing; extra eisen: bied pre-read van 1 pagina.",110,"gegarandeerd,100%"
33,intro,"persona: IT-architect; aanleiding: vraag in technische community; kanaal: DM; beperkingen: deep links naar docs oké.","toon: technisch; inhoud: high-level API endpoints en auth; CTA: 25-min architectuurcall; extra eisen: vraag naar SSO-vereisten.",120,
34,intro,"persona: Projectmanager CRM; aanleiding: lopende toolselectie; kanaal: e-mail; beperkingen: neutraliteit.","toon: neutraal; inhoud: criteria-matrix voorstel; CTA: 20-min alignment; extra eisen: benoem evaluatietijdlijn.",100,
35,intro,"persona: Office Manager; aanleiding: referentie via collega; kanaal: e-mail; beperkingen: eenvoud benadrukken.","toon: helder en vriendelijk; inhoud: eenvoudige next step om CRM te testen; CTA: 15-min walkthrough; extra eisen: geen jargon.",90,
36,followup,"context: demo gegeven aan [bedrijfsnaam] op [datum]; deelnemers: sales en IT; afspraak: evaluatie binnen 3 dagen.","doel: bevestiging van fit en volgende stap; toon: behulpzaam; gewenste reactie: ja op pilot of verzoek om extra info; extra eisen: voeg beknopte samenvatting toe.",110,
37,followup,"context: voorstel verzonden; status onbekend; eerder afgesproken besluitweek: deze week.","doel: ontvangstbevestiging en indicatie besluitproces; toon: beleefd maar duidelijk; gewenste reactie: update met tijdlijn.",90,"korting alleen vandaag,druk uitoefenen"
38,followup,"context: pilot van 2 weken afgerond; KPI's behaald boven drempel; stakeholder buy-in deels.","doel: go/no-go en eventuele condities; toon: resultaatgericht; gewenste reactie: akkoord op uitrolfase of feedback op bezwaren.",120,"gegarandeerde ROI"
39,followup,"context: budgetmeeting heeft plaatsgevonden; financieel team had vragen over OPEX/CAPEX.","doel: antwoord met bevestigde budgetroute; toon: zakelijk; gewenste reactie: akkoord met betalingsstructuur of verzoek om alternatieven.",110,
40,followup,"context: security questionnaire ingevuld en gedeeld; leverancierstoets lopend.","doel: statusupdate VRM; toon: feitelijk; gewenste reactie: lijst van open vragen en verwachte doorlooptijd.",100,"onhackbaar,waterdicht"
41,followup,"context: juridische redlines op MSA verstuurd; eerdere call: constructief; open punten: aansprakelijkheid en DPA.","doel: plan om laatste clausules te sluiten; toon: oplossingsgericht; gewenste reactie: voorstel voor 30-min afsprakenronde.",120,
42,followup,"context: team vergelijkt met een concurrent; criteria onduidelijk; vorige mail: case study gedeeld.","doel: expliciteren van besliskaders; toon: adviserend; gewenste reactie: top-5 criteria en weging of gezamenlijke review-call.",110,"negatief over concurrenten"
43,followup,"context: nieuwe stakeholder toegevoegd (Operations); eerdere demo gericht op Sales.","doel: multi-stakeholder sessie plannen; toon: inclusief; gewenste reactie: namen en beschikbaarheid voor 30-min call.",100,
44,followup,"context: meeting uitgesteld vanwege QBR-drukte; eerder enthousiasme was hoog.","doel: herplannen met drie opties; toon: begripvol; gewenste reactie: keuze of alternatieve tijden.",90,
45,followup,"context: referenties gevraagd; 2 anonieme cases gedeeld; geen reactie.","doel: valideren of cases volstaan; toon: vriendelijk; gewenste reactie: ja, genoeg of verzoek om aanvullende details.",90,"naam-dropping"
46,followup,"context: 2 weken radiostilte na sterke demo; geen opt-out ontvangen.","doel: zachte exit of duidelijke vervolgstap; toon: respectvol; gewenste reactie: pauzeren, afwijzen of plannen van besluitcall.",100,"wanhopig,druk nu"
47,followup,"context: interesse, maar kwartaalafsluiting blokkeert; placeholder voorgesteld.","doel: placeholder bevestigen; toon: flexibel; gewenste reactie: datum prikken of reminder-moment bepalen.",90,
48,followup,"context: uitnodiging voor workshop verstuurd; deelnemerslijst incompleet.","doel: bevestiging van rollen en aanwezigen; toon: gestructureerd; gewenste reactie: namen, rollen en doelen per deelnemer.",110,
49,followup,"context: POC toonde datakwaliteitsissue; mitigerende stappen voorgesteld.","doel: akkoord op mitigatieplan; toon: transparant; gewenste reactie: go met plan of aanvullende eisen.",110,
50,followup,"context: trial-account aangemaakt; eerste login nog niet gezien; enablement-video gedeeld.","doel: activering en hulp aanbieden; toon: coachend; gewenste reactie: eerste ervaring delen of korte set-up call boeken.",100,"gratis"
51,followup,"context: korting gevraagd; pricing-policy gedeeld; waarde en scope besproken.","doel: scope-bevestiging; toon: fair; gewenste reactie: akkoord op scope en prijs of alternatieve scope voorstellen.",100,"onder kostprijs,flash sale"
52,followup,"context: inkoop vroeg leveranciersprofiel en certificaten; documenten gestuurd.","doel: checklist-sluiting; toon: feitelijk; gewenste reactie: bevestiging compleet of ontbrekende items.",90,
53,followup,"context: UX-demo leverde zorgen over adoptie; we hebben enablement-suggesties gedaan.","doel: prioriteren van must-haves; toon: empathisch; gewenste reactie: top-3 eisen en impact op besluit.",110,
54,followup,"context: executive sponsor wisselde van rol; momentum dreigt te vallen.","doel: nieuwe sponsor identificeren; toon: tactvol; gewenste reactie: introductie naar opvolger of tijdelijke eigenaar.",100,
55,followup,"context: concept go-live plan gedeeld; afhankelijkheden met ERP benoemd.","doel: tijdlijn- en owner-bevestiging; toon: precies; gewenste reactie: akkoord of wijzigingsverzoek met redenen.",120,
56,followup,"context: API smoke test geslaagd; limieten onbekend; SSO in de wacht.","doel: bevestiging van API-limieten en SSO-tijdlijn; toon: technisch; gewenste reactie: waarden en verantwoordelijke.",110,
57,followup,"context: change management-risico benoemd; enablement-plan versie 1 gedeeld.","doel: commitment op enablement; toon: samenwerkend; gewenste reactie: trainingsdata en champions aanwijzen.",110,
58,followup,"context: intern debat build vs buy; TCO-calculator bijgevoegd (openbaar).","doel: 15-min review plannen; toon: analytisch; gewenste reactie: ja op korte bespreking of vragen vooraf.",100,"gegarandeerd goedkoper"
59,followup,"context: data residency-vraag voor [regio]; opties gedeeld.","doel: policy-fit bevestigen; toon: feitelijk; gewenste reactie: akkoord of aanvullende compliance-eisen.",100,"GDPR-proof"
60,followup,"context: budgetfreeze tot volgend kwartaal; interesse blijft.","doel: re-engage datum vastleggen; toon: relaxed; gewenste reactie: voorkeurweek en of lichte pilot wenselijk is.",100,
61,followup,"context: meeting notes verstuurd; beslispunten opgesomd.","doel: bevestigen dat samenvatting klopt; toon: nauwkeurig; gewenste reactie: akkoord of correcties.",90,
62,followup,"context: webinar-deelname; vraag gesteld over integraties; follow-up beloofd.","doel: check interesse-niveau; toon: behulpzaam; gewenste reactie: ja op korte demo of info per mail.",90,
63,followup,"context: contract ter e-sign verstuurd; deadline naderen.","doel: blokkers wegnemen; toon: proactief; gewenste reactie: statusupdate of vraag om laatste wijziging.",90,"laatste kans"
64,followup,"context: gesprek op stand tijdens [eventnaam]; visitekaartjes uitgewisseld; korte live-demo gegeven.","doel: kwalificeren en vervolgstap; toon: vriendelijk; gewenste reactie: 20-min call plannen of geen interesse aangeven.",100,
65,followup,"context: interne NPS-input wees op handoff-probleem; voorstel gedeeld.","doel: validatie van probleem; toon: pragmatisch; gewenste reactie: akkoord op pilot-scope of tegenvoorstel.",110,
66,followup,"context: CFO vroeg om ROI-model; voorbeeld gestuurd.","doel: invullen van 3 parameters; toon: financieel; gewenste reactie: cijfers delen of modelbespreking boeken.",100,"gegarandeerde ROI,100%"
67,followup,"context: operations vroeg naar SLA-drempels; concept-SLA gedeeld.","doel: drempelwaarden vastleggen; toon: helder; gewenste reactie: akkoord of wijziging per prioriteit.",100,
68,followup,"context: audit blokkeerde besluit; auditperiode voorbij.","doel: traject herstarten; toon: begripvol; gewenste reactie: korte update en voorstel voor besluitcall.",90,
69,followup,"context: lopend contract met concurrent loopt af in [maand]; oriëntatie gestart.","doel: besluitproces en timing verhelderen; toon: consultatief; gewenste reactie: stappenplan delen of vergelijking call.",110,"negatief over concurrenten"
70,followup,"context: trial verlopen; gebruik gematigd; waarde mogelijk niet gezien.","doel: ofwel verlengen of debrief plannen; toon: behulpzaam; gewenste reactie: keuze aangeven.",90,
71,meeting,"type: implementatie kick-off; deelnemers: projectteam sales, IT, CS; tijd: 60 min; constraints: start deze week.","doel: bevestig agenda (doelen, scope, planning, risico's) en deliverables (RACI, milestone-plan); CTA: bevestig aanwezigheid en pre-read; toon: doelgericht.",130,
72,meeting,"type: architectuurreview; deelnemers: IT-architecten en security; tijd: 45 min; constraints: geen slides, whiteboard oké.","doel: agenda met datamodel, integraties, auth; deliverable: goedgekeurd architectuur-overzicht en actiepunten; CTA: stuur integratiekaart vooraf.",130,"onhackbaar"
73,meeting,"type: QBR; deelnemers: executive sponsor en operationele leads; tijd: 60 min; constraints: hard stop.","doel: agenda met KPI's, impact, risico's; deliverable: kwartaal-actieplan met eigenaren en deadlines; CTA: bevestig metrics en extra topics.",130,
74,meeting,"type: renewal-voorbereiding; deelnemers: procurement, finance, sponsor; tijd: 45 min; constraints: budget vast.","doel: opties voor looptijd en schaal; deliverable: concept-terms en besluitmoment; CTA: akkoord op beslistroute.",120,"korting alleen vandaag"
75,meeting,"type: escalatie; deelnemers: support lead, IT; tijd: 30 min; constraints: P1-issue actief.","doel: RCA en tijdelijke maatregelen; deliverable: actieplan met tijden en eigenaren; CTA: bevestig status-intervals.",110,
76,meeting,"type: scoping workshop; deelnemers: PMO, sales ops; tijd: 90 min; constraints: backlog in Notion.","doel: scope-afbakening; deliverable: scope-doc en prioriteitenlijst; CTA: deel huidige processen vooraf.",130,
77,meeting,"type: procurement alignment; deelnemers: inkoop, legal; tijd: 40 min; constraints: checklist-format vereist.","doel: doorlopen verplichtingen; deliverable: ingevulde checklist en open punten; CTA: bevestig benodigde documenten.",120,
78,meeting,"type: security review; deelnemers: security, IT; tijd: 60 min; constraints: geen marketingmateriaal.","doel: verifiëren controls; deliverable: Q&A-lijst, follow-ups, eigenaarschap; CTA: deel policy-links vooraf.",120,"waterdicht,GDPR-proof"
79,meeting,"type: datamigratie planning; deelnemers: data owners, IT; tijd: 60 min; constraints: strakke deadline [datum].","doel: cutover-plan, mapping, rollback; deliverable: migratieplan en testcases; CTA: bevestig bron-systemen en volumes.",130,"naadloos"
80,meeting,"type: go-live readiness; deelnemers: alle werkstromen; tijd: 45 min; constraints: go/no-go raamwerk.","doel: checklist-review; deliverable: getekende go/no-go en supportplan; CTA: bevestig bereikbaarheidsregeling.",120,
81,meeting,"type: POC debrief; deelnemers: sponsor, kernteam; tijd: 45 min; constraints: data confidentieel.","doel: evaluatie tegen succescriteria; deliverable: besluitadvies en vervolgstappen; CTA: stuur score per criterium vooraf.",120,
82,meeting,"type: training sessie; deelnemers: sales team; tijd: 60 min; constraints: hands-on.","doel: enablement en adoptie; deliverable: trainingsmateriaal en aanwezigheidslijst; CTA: bevestig devices en sandbox-toegang.",110,
83,meeting,"type: integratie deep dive; deelnemers: ontwikkelaars; tijd: 60 min; constraints: API-first.","doel: endpoint-mapping en error-handling; deliverable: API-matrix en testplan; CTA: deel keys en staging-urls.",130,"plug-and-play"
84,meeting,"type: executive steering; deelnemers: C-level; tijd: 30 min; constraints: beslispunten eerst.","doel: strategische keuzes en risico's; deliverable: beslislog en richting; CTA: bevestig 3 prioriteiten.",110,"garantie"
85,meeting,"type: adoptie review; deelnemers: CS, enablement; tijd: 45 min; constraints: focus op gedrag.","doel: meten en verbeteren adoptie; deliverable: enablement-plan v2; CTA: deel usage-data vooraf.",110,
86,meeting,"type: feature prioritering; deelnemers: product, sales ops; tijd: 50 min; constraints: MoSCoW.","doel: geprioriteerde roadmap; deliverable: top-10 features met rationale; CTA: bevestig scoring-model.",120,
87,meeting,"type: multi-region rollout; deelnemers: regionale leads; tijd: 60 min; constraints: lokalisatie.","doel: rollout-plan per regio; deliverable: fasering en owners; CTA: geef blackout-dates.",120,
88,meeting,"type: compliance audit prep; deelnemers: compliance, IT; tijd: 60 min; constraints: bewijsverzameling.","doel: evidencelijst en gaps; deliverable: mapping naar controls; CTA: wijs document-eigenaars aan.",120,"GDPR-proof,waterdicht"
89,meeting,"type: SLA review; deelnemers: operations, support; tijd: 40 min; constraints: meetbare drempels.","doel: SLA-parameters afstemmen; deliverable: geüpdatete SLA en KPI's; CTA: deel incidenthistorie.",110,
90,meeting,"type: commerciële onderhandeling; deelnemers: sponsor, procurement; tijd: 45 min; constraints: value-first.","doel: term sheet varianten; deliverable: 2–3 scenario's met ruilvoorstellen; CTA: bevestig preferenties.",120,"laatste kans,onder kostprijs"
91,meeting,"type: privacy impact assessment; deelnemers: DPO, IT; tijd: 50 min; constraints: DPIA-template.","doel: risico-identificatie en mitigatie; deliverable: ingevulde DPIA; CTA: bevestig datastromen.",120,"GDPR-proof"
92,meeting,"type: vendor risk assessment; deelnemers: risk, inkoop; tijd: 45 min; constraints: standaardvragenlijst.","doel: risico-score bepalen; deliverable: VRM-scorecard; CTA: vraag om ontbrekende bewijsstukken.",110,
93,meeting,"type: marketing co-selling alignment; deelnemers: marketing, sales; tijd: 45 min; constraints: gedeelde accounts.","doel: gezamenlijke campagnebrief; deliverable: doelen, doelgroep, CTA's; CTA: deel content-assets.",120,"exclusief"
94,meeting,"type: RevOps metric alignment; deelnemers: sales ops, finance; tijd: 40 min; constraints: definities eerst.","doel: eenduidige definities per metric; deliverable: datadefinitie-document; CTA: bevestig bronsystemen.",110,
95,meeting,"type: success plan creatie; deelnemers: sponsor, CS; tijd: 45 min; constraints: haalbare doelen.","doel: meetbare uitkomsten en mijlpalen; deliverable: success plan; CTA: wijs eigenaren toe.",110,
96,meeting,"type: expansion discovery; deelnemers: accountteam; tijd: 45 min; constraints: geen upsell-dwang.","doel: extra use cases verkennen; deliverable: shortlist met impactschatting; CTA: bevestig prioriteiten.",110,"gegarandeerde ROI"
97,meeting,"type: renewal risk mitigatie; deelnemers: CS, sponsor; tijd: 40 min; constraints: vroegtijdige signalen.","doel: churn-risico's adresseren; deliverable: mitigatieplan; CTA: bevestig actie-eigenaars.",110,
98,meeting,"type: post-incident review; deelnemers: IT, support; tijd: 45 min; constraints: blameless.","doel: RCA en preventie; deliverable: verbetermaatregelen met termijnen; CTA: plan follow-up review.",110,
99,meeting,"type: billing en facturatie alignment; deelnemers: finance; tijd: 30 min; constraints: PO vereist.","doel: facturatieafspraken en schema; deliverable: billing schedule; CTA: bevestig PO-gegevens.",100,
100,meeting,"type: project retrospective; deelnemers: core team; tijd: 60 min; constraints: open feedback.","doel: lessen en next steps; deliverable: retro-document en actie-eigenaren; CTA: deel input vooraf en bevestig aanwezigheid.",130,